"id";"week_number";"match_date";"match_time";"home_score";"away_score";"is_played";"away_team_id";"home_team_id"
116;19;"2025-11-02";"06:45 PM";0;0;0;1;8
117;19;"2025-11-02";"07:30 PM";0;0;0;3;9
118;19;"2025-11-02";"08:15 PM";0;0;0;6;2
119;19;"2025-11-02";"09:00 PM";0;0;0;12;4
120;19;"2025-11-02";"09:45 PM";0;0;0;5;10
133;22;"2025-11-23";"06:00 PM";0;0;0;5;6
134;22;"2025-11-23";"06:45 PM";0;0;0;11;12
135;22;"2025-11-23";"07:30 PM";0;0;0;10;4
136;22;"2025-11-23";"08:15 PM";0;0;0;8;1
137;22;"2025-11-23";"09:00 PM";0;0;0;9;2
138;22;"2025-11-23";"09:45 PM";0;0;0;7;3
139;16;"2025-10-12";"06:00 PM";0;0;0;11;5
140;16;"2025-10-12";"06:45 PM";0;0;0;9;10
141;16;"2025-10-12";"07:30 PM";0;0;0;2;4
142;16;"2025-10-12";"08:15 PM";0;0;0;7;1
143;16;"2025-10-12";"09:00 PM";0;0;0;6;12
144;16;"2025-10-12";"09:45 PM";0;0;0;3;8
145;20;"2025-11-09";"06:00 PM";0;0;0;10;6
146;20;"2025-11-09";"06:45 PM";0;0;0;2;5
147;20;"2025-11-09";"07:30 PM";0;0;0;11;1
148;20;"2025-11-09";"08:15 PM";0;0;0;9;7
149;20;"2025-11-09";"09:00 PM";0;0;0;8;3
150;20;"2025-11-09";"09:45 PM";0;0;0;4;12
151;21;"2025-11-16";"06:00 PM";0;0;0;12;8
152;21;"2025-11-16";"06:45 PM";0;0;0;1;7
153;21;"2025-11-16";"07:30 PM";0;0;0;5;2
154;21;"2025-11-16";"08:15 PM";0;0;0;3;10
155;21;"2025-11-16";"09:00 PM";0;0;0;4;9
156;21;"2025-11-16";"09:45 PM";0;0;0;11;6
157;17;"2025-10-19";"06:00 PM";0;0;0;10;3
158;17;"2025-10-19";"06:45 PM";0;0;0;7;5
159;17;"2025-10-19";"07:30 PM";0;0;0;11;8
160;17;"2025-10-19";"08:15 PM";0;0;0;1;6
161;17;"2025-10-19";"09:00 PM";0;0;0;12;9
162;17;"2025-10-19";"09:45 PM";0;0;0;4;2
163;13;"2025-09-21";"06:00 PM";0;0;0;6;3
164;13;"2025-09-21";"06:45 PM";0;0;0;4;5
165;13;"2025-09-21";"07:30 PM";0;0;0;8;10
166;13;"2025-09-21";"08:15 PM";0;0;0;9;1
167;13;"2025-09-21";"09:00 PM";0;0;0;12;7
168;13;"2025-09-21";"09:45 PM";0;0;0;2;11
